"Year","COM_HKL","COM_TWL","COM_NET","REC_PC","REC_PC_DIS","REC_PR","REC_PR_DIS","Total Catch"
1986,30.693,4.154,31.418,11.3953,0.126317,58.1361,0.513366,136.436083
1987,29.064,44.472,65.8,51.0359,0.616854,53.244,0.522788,244.755542
1988,55.941,21.304,49.169,68.6695,1.2941,88.5227,1.36591,286.26621
1989,34.448,2.654,6.12,14.2722,0.335288,55.4399,1.0515,114.320888
1990,61.399,1.485,60.728,41.5893,0.914925,79.9138,1.40412,247.434145
1991,126.397,0.561,13.817,43.4434,0.731634,90.2566,1.21016,276.416794
1992,103.91,10.272,0.328,44.1557,0.635908,98.4088,1.13456,258.844968
1993,150.587,21.365,19.802,42.9399,0.630436,126.364,1.49977,363.188106
1994,85.276,14.598,10.992,40.6979,0.602534,76.9624,0.925643,230.054477
1995,49.647,15.606,10.994,38.5149,0.533577,43.9026,0.493803,159.69188
1996,63.809,10.343,9.314,24.4241,0.316619,22.6428,0.23958,131.089099
1997,64.022,13.592,7.143,44.4159,0.706342,22.4665,0.293532,152.639274
1998,44,27.858,6.333,13.923,0.255701,27.3535,0.410489,120.13369
1999,34.011,8.816,0.012,32.6794,0.57848,44.6421,0.640192,121.379172
2000,12.629,0.46,0.017,34.834,0.525431,39.0865,0.476543,88.028474
2001,11.286,2.752,0.103,27.2615,0.374004,26.7928,0.299203,68.868507
2002,6.487,0.16,0,15.475,0.25656,53.7128,0.593979,76.685339
2003,5.829,0.176,0,19.5623,0.363594,159.695,1.99962,187.625514
2004,10.123,0.154,0,35.7865,0.73258,40.0998,0.565614,87.461494
2005,11.476,0.09,0.007,98.995,0.412007,52.9831,0.353955,164.317062
2006,12.101,0.001,0,67.4445,0.00854531,68.6159,0.434338,148.60528331
2007,13.314,0,0,54.0268,0.023619,59.5841,0.191658,127.140177
2008,9.778,0.164,0,21.7354,0.0141417,39.2803,0.536934,71.5087757
2009,7.058,0.029,0,28.0015,0.257925,53.7807,0.295776,89.422901
2010,6.939,0.01,0,58.9522,0.141483,38.8458,0.293007,105.18149
2011,10.047,0,0,39.9173,0.297344,49.1641,0.147007,99.572751
2012,9.4,0.006,0,35.7086,0.245838,40.8806,0.229987,86.471025
2013,13.845,0.005,0,20.9746,0.121027,40.3983,0.123134,75.467061
2014,14.139,0.015,0.023,21.006,0.0419229,41.5369,0.214244,76.9760669
2015,18.172,0.41,0.01,39.7809,0.101649,64.3861,0.210194,123.070843
2016,13.271,0.094,0,37.1048,0.179194,59.6685,0.244169,110.561663
2017,14.226,0.062,0.002,92.562,0.375079,59.2283,0.272473,166.727852
2018,19.041,0.619,0,87.3053,0.147697,72.522,0.251527,179.886524
2019,19.593,0.039,0,90.4173,0.31843,91.2733,0.647399,202.288429
2020,19.93,0.017,0,54.2103,0.166168,63.1153,0.276008,137.714776
